date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:57	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2004%20Jan%202022%2005:17:57%20GMT	https://fonts.googleapis.com/robots.txt		(from https://wish.hktechnical.com/u/220104KR37BP/)
21:17:58	37236/37236	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2001%20Sep%202020%2005:55:12%20GMT	https://fonts.gstatic.com/s/handlee/v9/-F6xfjBsISg9aMakDmo.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/handlee/v9/-F6xfjBsISg9aMakDmo.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:17:59	460024/460024	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2001%20Sep%202020%2005:16:53%20GMT	https://fonts.gstatic.com/s/kalam/v11/YA9Qr0Wd4kDdMtDqHQLL.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/kalam/v11/YA9Qr0Wd4kDdMtDqHQLL.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:17:59	33088/33088	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2001%20Sep%202020%2004:37:15%20GMT	https://fonts.gstatic.com/s/merienda/v9/gNMAW3x8Qoy5_mf8uWu-Fa-y.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/merienda/v9/gNMAW3x8Qoy5_mf8uWu-Fa-y.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:18:01	588184/588184	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2023%20Jul%202020%2019:47:38%20GMT	https://fonts.gstatic.com/s/pangolin/v6/cY9GfjGcW0FPpi-tWPfK.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/pangolin/v6/cY9GfjGcW0FPpi-tWPfK.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:18:01	152636/152636	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2001%20Sep%202020%2005:03:53%20GMT	https://fonts.gstatic.com/s/patrickhand/v14/LDI1apSQOAYtSuYWp8ZhfYeMWQ.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/patrickhand/v14/LDI1apSQOAYtSuYWp8ZhfYeMWQ.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:18:01	73276/73276	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2001%20Sep%202020%2005:51:17%20GMT	https://fonts.gstatic.com/s/permanentmarker/v10/Fh4uPib9Iyv2ucM6pGQMWimMp004Hao.ttf	C:/My%20Web%20Sites/Wishings/fonts.gstatic.com/s/permanentmarker/v10/Fh4uPib9Iyv2ucM6pGQMWimMp004Hao.ttf	(from https://fonts.googleapis.com/css2?family=Handlee&family=Kalam:wght@700&family=Merienda:wght@700&family=Pangolin&family=Patrick+Hand&family=Permanent+Marker&display=swap)
21:18:02	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:03	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:03	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:04	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:05	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:05	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Wishings/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
21:18:05	1551/1551	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:38%20GMT	https://dare4frnd.hktechnical.com/robots.txt		(from https://wish.hktechnical.com/u/220104KR37BP/)
21:18:06	4854/4854	---M-Z	200	added ('OK')	application/javascript	etag:%22eefe4464fd5b7834e035c86d8df16497%22	https://dare4frnd.hktechnical.com/cdn-cgi/apps/head/W1LCboOBIap2E3J0q74YikrldxI.js	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/cdn-cgi/apps/head/W1LCboOBIap2E3J0q74YikrldxI.js	(from https://dare4frnd.hktechnical.com/)
21:18:06	92334/92334	---MC-	200	added ('OK')	application/javascript	date:Tue,%2004%20Jan%202022%2003:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-127337837-16	C:/My%20Web%20Sites/Wishings/www.googletagmanager.com/gtag/jsc2a9	(from https://dare4frnd.hktechnical.com/)
21:18:06	197175/197175	---MCZ	200	added ('OK')	text/css	etag:W/%2230237-5f2a21b5-17029bbef23cae21;gz%22	https://dare4frnd.hktechnical.com/css/style.css	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/css/style.css	(from https://dare4frnd.hktechnical.com/)
21:18:07	1387/1387	---MCZ	200	added ('OK')	text/css	etag:W/%22576-5f2a21b2-82b63cad9b4fe109;gz%22	https://dare4frnd.hktechnical.com/css/custom.css?v=1.1	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/css/customf9e3.css	(from https://dare4frnd.hktechnical.com/)
21:18:07	3941/3941	---M--	200	added ('OK')	image/png	etag:%22f65-5f2a21d8-68c302e245f98f44;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-57x57.png	(from https://dare4frnd.hktechnical.com/)
21:18:07	4163/4163	---M--	200	added ('OK')	image/png	etag:%221043-5f2a21da-e071822172d58753;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-60x60.png	(from https://dare4frnd.hktechnical.com/)
21:18:07	4918/4918	---M--	200	added ('OK')	image/png	etag:%221336-5f2a21db-140a0a0e9ba62306;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-72x72.png	(from https://dare4frnd.hktechnical.com/)
21:18:08	5224/5224	---M--	200	added ('OK')	image/png	etag:%221468-5f2a21dc-e014301b5fe82b1;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-76x76.png	(from https://dare4frnd.hktechnical.com/)
21:18:08	8169/8169	---M--	200	added ('OK')	image/png	etag:%221fe9-5f2a21dd-b3a9cf565562bc12;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-114x114.png	(from https://dare4frnd.hktechnical.com/)
21:18:08	8481/8481	---M--	200	added ('OK')	image/png	etag:%222121-5f2a21de-35b7c9a90d049667;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-120x120.png	(from https://dare4frnd.hktechnical.com/)
21:18:08	10213/10213	---M--	200	added ('OK')	image/png	etag:%2227e5-5f2a21e3-5d896ec2da4a0f8c;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-144x144.png	(from https://dare4frnd.hktechnical.com/)
21:18:09	11209/11209	---M--	200	added ('OK')	image/png	etag:%222bc9-5f2a21e3-121693e977d9f6b1;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-152x152.png	(from https://dare4frnd.hktechnical.com/)
21:18:09	14100/14100	---M--	200	added ('OK')	image/png	etag:%223714-5f2a21e4-165d09320aa55371;;;%22	https://dare4frnd.hktechnical.com/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/apple-icon-180x180.png	(from https://dare4frnd.hktechnical.com/)
21:18:09	12385/12385	---M--	200	added ('OK')	image/png	etag:%223061-5f2a21d8-6c391050f9880e40;;;%22	https://dare4frnd.hktechnical.com/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/android-icon-192x192.png	(from https://dare4frnd.hktechnical.com/)
21:18:09	2289/2289	---M--	200	added ('OK')	image/png	etag:%228f1-5f2a21e6-af01ac0cd61af7e6;;;%22	https://dare4frnd.hktechnical.com/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/favicon-32x32.png	(from https://dare4frnd.hktechnical.com/)
21:18:09	6439/6439	---M--	200	added ('OK')	image/png	etag:%221927-5f2a21e7-72abb3bef59da1cd;;;%22	https://dare4frnd.hktechnical.com/favicon/favicon-96x96.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/favicon-96x96.png	(from https://dare4frnd.hktechnical.com/)
21:18:10	1531/1531	---M--	200	added ('OK')	image/png	etag:%225fb-5f2a21e5-b17ca0c7c0de5b48;;;%22	https://dare4frnd.hktechnical.com/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/favicon-16x16.png	(from https://dare4frnd.hktechnical.com/)
21:18:10	814/814	---M-Z	200	added ('OK')	application/json	etag:%2232e-5f2a21e8-e014db50f3b0661b;gz%22	https://dare4frnd.hktechnical.com/favicon/manifest.json	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/favicon/manifest.json	(from https://dare4frnd.hktechnical.com/)
21:18:11	39729/39729	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Jan%202022%2005:18:11%20GMT	https://dare4frnd.hktechnical.com/cdn-cgi/challenge-platform/h/g/scripts/invisible.js	C:/My%20Web%20Sites/Wishings/dare4frnd.hktechnical.com/cdn-cgi/challenge-platform/h/g/scripts/invisible.js	(from https://dare4frnd.hktechnical.com/)
21:18:12	986033/986033	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0482db440697a659af4980d2e841891%22	https://use.fontawesome.com/releases/v5.3.1/js/all.js	C:/My%20Web%20Sites/Wishings/use.fontawesome.com/releases/v5.3.1/js/all.js	(from https://dare4frnd.hktechnical.com/)
